Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0307269191""","=""9780307269195""",0,3.87,Knopf Publishing Group,Hardcover,188,2008,2007,,2024/09/07,to-read,to-read (#66),to-read,,,,0,0
38602142,Coffee Can Investing: The Low Risk Road to Stupendous Wealth,Saurabh Mukherjea,"Mukherjea, Saurabh",,"=""067009045X""","=""9780670090457""",4,4.04,Penguin Portfolio,Hardcover,288,2018,,2024/08/29,2024/09/07,,,read,,,,2,0
62047992,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,"=""0063278677""","=""9780063278677""",3,3.65,Harper Perennial,Paperback,150,2023,2010,2024/07/15,2024/07/13,,,read,,,,2,0
122765395,Elon Musk,Walter Isaacson,"Isaacson, Walter",,"=""1982181281""","=""9781982181284""",0,4.40,Simon & Schuster,Hardcover,688,2023,2023,,2024/07/07,to-read,to-read (#65),to-read,,,,0,0
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""1405293187""","=""9781405293181""",4,4.32,Electric Monkey,Paperback,433,2019,2019,2024/06/22,2024/06/22,,,read,,,,2,0
32307358,"Origin (Robert Langdon, #5)",Dan       Brown,"Brown, Dan",,"=""""","=""""",4,3.89,Doubleday ,Kindle Edition,482,2017,2017,,2024/04/25,,,read,,,,0,0
53799686,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982121602""","=""9781982121600""",0,4.18,Simon & Schuster Canada,Paperback,336,2020,2019,,2024/04/14,to-read,to-read (#64),to-read,,,,0,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",4,4.07,St. Martin's Press,Hardcover,336,2017,2017,2024/02/15,2024/04/07,,,read,,,,1,0
41632562,"The Clockmaker's Secret (Slim Hardy Mysteries, #2)",Jack Benton,"Benton, Jack",,"=""""","=""""",3,4.22,AMMFA Publishing,Kindle Edition,270,2018,,2024/03/25,2024/04/07,,,read,,,,1,0
1837402,How To Get Rich,Felix Dennis,"Dennis, Felix",,"=""009192166X""","=""9780091921668""",4,4.17,Ebury Press,Paperback,277,2007,2008,,2023/05/20,,,read,,,,1,0
